review_id,product_id,rating,review_length,sentiment_score
rev0000,prod_b,4,138,0.8205
rev0001,prod_a,5,157,1.0
rev0002,prod_b,2,152,0.4287
rev0003,prod_d,5,211,0.9922
rev0004,prod_a,5,124,1.0
rev0005,prod_a,4,144,0.8314
rev0006,prod_c,4,129,0.8302
rev0007,prod_b,4,230,0.7137
rev0008,prod_d,3,209,0.5974
rev0009,prod_d,3,166,0.5892
rev0010,prod_d,5,187,1.0
rev0011,prod_a,3,184,0.589
rev0012,prod_b,5,86,0.9306
rev0013,prod_c,4,220,0.8005
rev0014,prod_d,3,221,0.6255
rev0015,prod_c,4,108,0.7286
rev0016,prod_b,2,88,0.4063
rev0017,prod_c,3,120,0.5489
rev0018,prod_b,3,145,0.5391
rev0019,prod_b,5,192,0.9597
rev0020,prod_b,4,149,0.7089
rev0021,prod_c,3,131,0.5707
rev0022,prod_a,2,153,0.4042
rev0023,prod_d,2,196,0.4312
rev0024,prod_c,2,83,0.3616
rev0025,prod_a,2,165,0.3859
rev0026,prod_c,5,174,0.9588
rev0027,prod_b,5,192,0.9547
rev0028,prod_b,4,118,0.7557
rev0029,prod_d,2,177,0.4088
rev0030,prod_d,4,160,0.8455
rev0031,prod_d,4,192,0.7196
rev0032,prod_c,1,242,0.1665
rev0033,prod_b,5,208,0.9102
rev0034,prod_c,4,75,0.8452
rev0035,prod_a,5,179,0.995
rev0036,prod_a,4,135,0.8484
rev0037,prod_d,4,129,0.8383
rev0038,prod_c,3,212,0.5666
rev0039,prod_b,5,152,0.9701
rev0040,prod_c,4,202,0.822
rev0041,prod_a,2,130,0.3786
rev0042,prod_b,5,136,0.934
rev0043,prod_d,4,140,0.7782
rev0044,prod_c,4,130,0.8187
rev0045,prod_a,5,172,1.0
rev0046,prod_d,4,163,0.7501
rev0047,prod_d,4,118,0.7715
rev0048,prod_a,3,194,0.6192
rev0049,prod_b,5,150,0.9981
rev0050,prod_a,3,172,0.5378
rev0051,prod_c,4,120,0.7376
rev0052,prod_b,4,139,0.7651
rev0053,prod_d,3,262,0.586
rev0054,prod_a,2,140,0.3713
rev0055,prod_b,4,104,0.8012
rev0056,prod_c,5,139,0.9769
rev0057,prod_a,3,193,0.5137
rev0058,prod_c,5,109,0.9421
rev0059,prod_a,5,165,1.0
rev0060,prod_c,3,183,0.5583
rev0061,prod_c,5,166,0.9439
rev0062,prod_d,5,159,0.9184
rev0063,prod_c,4,125,0.7043
rev0064,prod_c,4,110,0.7508
rev0065,prod_a,4,167,0.7146
rev0066,prod_a,5,161,0.9265
rev0067,prod_d,4,154,0.759
rev0068,prod_d,4,154,0.8263
rev0069,prod_c,5,127,0.9151
rev0070,prod_a,4,119,0.7127
rev0071,prod_d,4,150,0.7874
rev0072,prod_c,3,145,0.6455
rev0073,prod_c,5,181,1.0
rev0074,prod_b,5,149,0.9092
rev0075,prod_a,4,152,0.7156
rev0076,prod_a,2,168,0.3779
rev0077,prod_b,4,147,0.724
rev0078,prod_d,5,104,1.0
rev0079,prod_b,2,168,0.3173
rev0080,prod_c,1,149,0.13
rev0081,prod_d,4,149,0.7308
rev0082,prod_b,5,210,0.9325
rev0083,prod_c,3,208,0.5076
rev0084,prod_a,5,180,0.9668
rev0085,prod_d,4,175,0.8001
rev0086,prod_a,3,143,0.5421
rev0087,prod_c,5,190,0.9784
rev0088,prod_b,5,130,0.901
rev0089,prod_d,5,139,0.9509
rev0090,prod_a,5,128,0.9037
rev0091,prod_d,4,231,0.807
rev0092,prod_c,4,102,0.7033
rev0093,prod_d,5,199,0.9071
rev0094,prod_d,3,225,0.5987
rev0095,prod_b,2,208,0.3945
rev0096,prod_b,2,140,0.3021
rev0097,prod_c,4,213,0.7242
rev0098,prod_a,4,134,0.7921
rev0099,prod_b,4,217,0.7017
rev0100,prod_b,1,124,0.1749
rev0101,prod_d,5,121,1.0
rev0102,prod_a,4,149,0.7539
rev0103,prod_d,3,138,0.5829
rev0104,prod_a,3,118,0.6147
rev0105,prod_c,5,142,1.0
rev0106,prod_b,3,134,0.5735
rev0107,prod_b,4,225,0.8299
rev0108,prod_c,5,52,1.0
rev0109,prod_b,3,98,0.6479
rev0110,prod_a,5,185,0.9868
rev0111,prod_a,5,189,1.0
rev0112,prod_b,4,144,0.8459
rev0113,prod_a,5,180,0.9502
rev0114,prod_c,4,218,0.8351
rev0115,prod_b,5,214,0.943
rev0116,prod_c,5,165,0.967
rev0117,prod_a,3,134,0.6423
rev0118,prod_d,4,163,0.7839
rev0119,prod_b,1,221,0.122
rev0120,prod_b,5,155,0.9839
rev0121,prod_a,2,171,0.3254
rev0122,prod_b,3,155,0.6391
rev0123,prod_b,4,158,0.7383
rev0124,prod_a,5,182,0.9507
rev0125,prod_a,4,190,0.7783
rev0126,prod_b,5,167,1.0
rev0127,prod_b,2,192,0.4419
rev0128,prod_a,5,159,0.9036
rev0129,prod_b,5,218,1.0
rev0130,prod_d,2,186,0.338
rev0131,prod_c,3,192,0.5416
rev0132,prod_c,3,161,0.6457
rev0133,prod_a,4,167,0.8166
rev0134,prod_b,4,160,0.8196
rev0135,prod_a,4,163,0.7388
rev0136,prod_c,4,167,0.818
rev0137,prod_a,4,148,0.8374
rev0138,prod_d,3,205,0.5561
rev0139,prod_b,5,114,0.9765
rev0140,prod_d,4,133,0.7638
rev0141,prod_c,5,91,0.9665
rev0142,prod_b,2,106,0.4088
rev0143,prod_d,5,197,0.9557
rev0144,prod_d,2,139,0.411
rev0145,prod_b,5,169,1.0
rev0146,prod_a,4,149,0.7633
rev0147,prod_a,4,112,0.7208
rev0148,prod_a,5,238,0.9567
rev0149,prod_b,4,114,0.7081
rev0150,prod_d,5,168,0.9545
rev0151,prod_c,3,209,0.5149
rev0152,prod_a,4,150,0.809
rev0153,prod_c,5,137,1.0
rev0154,prod_d,2,127,0.3782
rev0155,prod_b,4,192,0.81
rev0156,prod_d,3,195,0.6261
rev0157,prod_a,4,140,0.798
rev0158,prod_b,4,168,0.7512
rev0159,prod_d,4,135,0.7117
rev0160,prod_a,4,172,0.8494
rev0161,prod_b,5,215,1.0
rev0162,prod_a,4,169,0.7032
rev0163,prod_d,4,174,0.8113
rev0164,prod_a,4,151,0.8477
rev0165,prod_d,5,224,0.9897
rev0166,prod_b,4,154,0.7737
rev0167,prod_c,4,186,0.7792
rev0168,prod_a,5,107,0.9369
rev0169,prod_c,4,115,0.718
rev0170,prod_d,4,76,0.7379
rev0171,prod_b,5,152,0.9764
rev0172,prod_d,4,122,0.7364
rev0173,prod_d,5,257,0.9837
rev0174,prod_c,3,192,0.5992
rev0175,prod_d,4,176,0.7299
rev0176,prod_c,3,142,0.5579
rev0177,prod_c,4,196,0.8006
rev0178,prod_d,4,107,0.8248
rev0179,prod_c,3,139,0.6128
rev0180,prod_b,4,219,0.8198
rev0181,prod_b,3,130,0.6042
rev0182,prod_d,4,120,0.7445
rev0183,prod_c,5,164,1.0
rev0184,prod_d,3,145,0.6402
rev0185,prod_c,5,117,0.9526
rev0186,prod_c,4,217,0.8198
rev0187,prod_b,4,185,0.703
rev0188,prod_d,5,221,0.971
rev0189,prod_d,3,86,0.5142
rev0190,prod_b,4,175,0.7842
rev0191,prod_a,4,176,0.7812
rev0192,prod_c,4,189,0.7675
rev0193,prod_c,4,182,0.7041
rev0194,prod_b,4,142,0.8112
rev0195,prod_d,4,127,0.7959
rev0196,prod_a,4,201,0.7964
rev0197,prod_b,3,58,0.5778
rev0198,prod_c,5,140,0.9186
rev0199,prod_a,4,123,0.8429
